DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/05/2016,19:00,QUEENS,11413,40.6825066,-73.7399958,"(40.6825066, -73.7399958)",130 AVENUE                      ,227 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384789,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,19:00,QUEENS,11368,40.750671,-73.863096,"(40.750671, -73.863096)",103 STREET                      ,39 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384890,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:00,QUEENS,11356,40.7816857,-73.8450175,"(40.7816857, -73.8450175)",123 STREET                      ,20 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385305,PASSENGER VEHICLE,OTHER,,,
02/05/2016,19:00,MANHATTAN,10002,40.7130201,-73.9944594,"(40.7130201, -73.9944594)",HENRY STREET                    ,MARKET STREET                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384420,PASSENGER VEHICLE,LIVERY VEHICLE,,,
02/05/2016,18:53,BRONX,10461,40.8358272,-73.828799,"(40.8358272, -73.828799)",BAISLEY AVENUE                  ,EDISON AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384569,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,18:50,QUEENS,11434,40.6804242,-73.7714719,"(40.6804242, -73.7714719)",172 STREET                      ,127 AVENUE                      ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384359,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/05/2016,18:49,,,40.7304453,-73.9136638,"(40.7304453, -73.9136638)",,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,,,3384823,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/05/2016,18:45,BRONX,10475,40.86832,-73.8331589,"(40.86832, -73.8331589)",BARTOW AVENUE                   ,EDSON AVENUE                    ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3384566,PASSENGER VEHICLE,,,,
02/05/2016,18:45,BRONX,10459,40.8163185,-73.8962127,"(40.8163185, -73.8962127)",LONGWOOD AVENUE                 ,SOUTHERN BOULEVARD              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383999,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,18:40,QUEENS,11413,40.6801176,-73.7532369,"(40.6801176, -73.7532369)",MERRICK BOULEVARD               ,SPRINGFIELD BOULEVARD           ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3384280,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,18:35,BRONX,10453,40.8580925,-73.9019135,"(40.8580925, -73.9019135)",EAST 183 STREET                 ,MORRIS AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385052,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,18:34,BROOKLYN,11213,40.6775631,-73.9330796,"(40.6775631, -73.9330796)",ATLANTIC AVENUE                 ,SCHENECTADY AVENUE              ,,2,1,1,1,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3384726,BUS,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
02/05/2016,18:34,BROOKLYN,11213,40.6639033,-73.9399274,"(40.6639033, -73.9399274)",EMPIRE BOULEVARD                ,ALBANY AVENUE                   ,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,3384685,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,18:30,QUEENS,11357,40.781694,-73.82224,"(40.781694, -73.82224)",20 AVENUE                       ,PARSONS BOULEVARD               ,,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,3384831,SPORT UTILITY / STATION WAGON,,,,
02/05/2016,18:30,,,,,,VICTORY BOULEVARD               ,WILD AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384904,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,18:30,STATEN ISLAND,10305,40.6181866,-74.0691482,"(40.6181866, -74.0691482)",BAY STREET                      ,LYNHURST AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384897,PASSENGER VEHICLE,TAXI,,,
02/05/2016,18:30,BROOKLYN,11210,40.6113133,-73.9516693,"(40.6113133, -73.9516693)",KINGS HIGHWAY                   ,EAST 22 STREET                  ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3384646,PASSENGER VEHICLE,VAN,,,
02/05/2016,18:30,BROOKLYN,11203,40.6413042,-73.9427511,"(40.6413042, -73.9427511)",AVENUE D                        ,BROOKLYN AVENUE                 ,,0,0,0,0,0,0,0,0,Other Electronic Device,Unspecified,,,,3386799,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,18:30,BRONX,10457,40.8462813,-73.8889228,"(40.8462813, -73.8889228)",EAST 179 STREET                 ,CLINTON AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384046,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,18:27,BRONX,10459,40.8163185,-73.8962127,"(40.8163185, -73.8962127)",SOUTHERN BOULEVARD              ,LONGWOOD AVENUE                 ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3383997,PASSENGER VEHICLE,,,,
02/05/2016,18:27,MANHATTAN,10011,40.7397514,-74.0025224,"(40.7397514, -74.0025224)",WEST 14 STREET                  ,8 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383879,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,18:25,BROOKLYN,11238,40.6797033,-73.9616787,"(40.6797033, -73.9616787)",GRAND AVENUE                    ,PACIFIC STREET                  ,,2,0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,3384729,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
02/05/2016,18:25,,,40.5945547,-73.997568,"(40.5945547, -73.997568)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384652,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,18:25,MANHATTAN,10035,40.8063523,-73.9380866,"(40.8063523, -73.9380866)",PARK AVENUE                     ,EAST 127 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383966,PASSENGER VEHICLE,TAXI,,,
02/05/2016,18:23,MANHATTAN,10025,40.7972493,-73.9680399,"(40.7972493, -73.9680399)",AMSTERDAM AVENUE                ,WEST 101 STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3383961,TAXI,,,,
02/05/2016,18:22,BRONX,10459,40.8196938,-73.9016016,"(40.8196938, -73.9016016)",PROSPECT AVENUE                 ,WESTCHESTER AVENUE              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384000,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
02/05/2016,18:20,,,,,,MYRTLE AVENUE                   ,CARLTON AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3385210,PASSENGER VEHICLE,BICYCLE,,,
02/05/2016,18:20,MANHATTAN,10065,40.762106,-73.9601368,"(40.762106, -73.9601368)",EAST 63 STREET                  ,1 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383940,SPORT UTILITY / STATION WAGON,TAXI,,,
02/05/2016,18:19,,,,,,SOUTH CONDUIT AVENUE            ,FORBELL STREET                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3384704,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
